species,longitude,latitude
Rattus rattus,-38.33333,-12.9
Peromyscus maniculatus,-98.29564,19.26563
Sciurus aureogaster,-98.62194,19.02278
Balantiopteryx plicata,-99.23427,18.74371
Desmodus rotundus,-99.23427,18.74371
Peromyscus boylii,-97.2095,19.65228
Peromyscus difficilis,-97.43395,19.04397
Reithrodontomys fulvescens,-96.88422,19.49923
Molossus molossus,-75.2225,3.2228
Mus musculus,-75.2,3.8
Felis silvestris,-75.2225,3.2228
Mustela frenata,-73.58333,5.28333
Myotis riparius,-74.73333,4.15
Dasyprocta punctata,-74.23333,3.88333
Cyclopes didactylus,-91.16667,17.06667
Sciurus deppei,-91.65103,16.79854
Nasua narica,-99.75344,17.5521
Sylvilagus cunicularius,-99.3215,18.77343
Sciurus aureogaster,-91.65103,16.79854
Sciurus aureogaster,-99.75344,17.5521
Sphiggurus mexicanus,-99.80372,17.5521
Sciurus aureogaster,-96.72004,17.13295
Sciurus aureogaster,-99.80372,17.5521
Sciurus deppei,-90.53157,19.1051
Mustela frenata,-92.13299,16.73744
Sylvilagus cunicularius,-99.96928,16.93601
Mormoops megalophylla,-89.88333,16.90425
Carollia perspicillata,-90.36667,15.48333
Natalus stramineus,-89.88333,16.90425
Rhynchonycteris naso,-72.61667,6.45
Zygodontomys brevicauda,-73.61667,4.15
Nyctinomops laticaudatus,-90.13333,16.8
Nyctinomops laticaudatus,-89.88333,16.93333
Didelphis marsupialis,-73.61667,4.15
Lasiurus cinereus,-99.50094,17.5521
Reithrodontomys fulvescens,-99.50094,17.5521
Liomys irroratus,-99.50094,17.5521
Macrotus waterhousii,-99.50094,17.5521
Liomys irroratus,-99.68567,17.55738
Baiomys musculus,-99.50094,17.5521
Artibeus lituratus,-99.50094,17.5521
Mustela frenata,-99.63761,17.50571
Hodomys alleni,-99.50094,17.5521
Sigmodon mascotensis,-99.50094,17.5521
Mus musculus,-99.50094,17.5521
Artibeus hirsutus,-99.50094,17.5521
Sciurus aureogaster,-99.63761,17.50571
Reithrodontomys fulvescens,-99.63761,17.50571
Liomys irroratus,-99.4651,17.43432
Artibeus aztecus,-99.50094,17.5521
Sciurus aureogaster,-99.68567,17.55738
Tlacuatzin canescens,-99.50094,17.5521
Lasiurus cinereus,-99.68567,17.55738
Lagidium peruanum,-69.66667,-16.43034
Carollia perspicillata,-79.9,9.26481
Lagidium peruanum,-70.07313,-16.67763
Centronycteris maximiliani,-79.6268,9.11667
Phyllostomus hastatus,-79.64596,9.21667
Carollia perspicillata,-79.88535,9.30846
Carollia perspicillata,-79.61667,9.18757
Uroderma bilobatum,-79.88535,9.30846
Peromyscus melanotis,-97.36006,19.07008
Sciurus aureogaster,-96.60782,17.21295
Reithrodontomys sumichrasti,-96.60782,17.21295
Peromyscus levipes,-96.60782,17.21295
Sylvilagus floridanus,-92.68133,16.77854
Peromyscus levipes,-92.68133,16.77854
Peromyscus difficilis,-96.60782,17.21295
Balantiopteryx io,-94.75305,17.18768
Chinchillula sahamae,-70.07313,-16.67763
Trachops cirrhosus,-79.82674,9.36667
Glossophaga soricina,-100.01068,16.91657
Molossus molossus,-75.18333,3.33333
Didelphis marsupialis,-75.18333,3.33333
Puma yagouaroundi,-75.18333,3.33333
Marmosa robinsoni,-75.16667,3.33333
Oecomys flavicans,-75.18333,3.33333
Sylvilagus floridanus,-75.18333,3.33333
Zygodontomys brevicauda,-75.18333,3.33333
Oligoryzomys fulvescens,-75.18333,3.33333
Tamandua tetradactyla,-75.18333,3.33333
Sciurus granatensis,-75.45,3.75
Sorex veraepacis,-99.73122,17.55738
Chrotopterus auritus,-91.73909,16.09524
Marmosa mexicana,-91.73909,16.09524
Desmodus rotundus,-91.73909,16.09524
Eptesicus fuscus,-92.57327,16.67521
Eptesicus fuscus,-91.73909,16.09524
Cryptotis goldmani,-99.73122,17.55738
Pteronotus parnellii,-92.57327,16.67521
Reithrodontomys mexicanus,-91.73909,16.09524
Didelphis virginiana,-91.73909,16.09524
Sciurus aureogaster,-91.73909,16.09524
Peromyscus levipes,-92.57327,16.67521
Reithrodontomys sumichrasti,-92.57327,16.67521
Sciurus aureogaster,-99.73122,17.55738
Reithrodontomys sumichrasti,-91.73909,16.09524
Myotis velifer,-92.57327,16.67521
Reithrodontomys microdon,-92.55355,16.70383
Peromyscus aztecus,-91.73909,16.09524
Tadarida brasiliensis,-91.73909,16.09524
Lasiurus intermedius,-92.57327,16.67521
Peromyscus zarhynchus,-92.57327,16.67521
Peromyscus levipes,-99.73122,17.55738
Megadontomys thomasi,-99.73122,17.55738
Peromyscus megalops,-99.73122,17.55738
Sciurus deppei,-91.73909,16.09524
Reithrodontomys sumichrasti,-99.73122,17.55738
Marmosa robinsoni,-75.18333,3.33333
Tonatia silvicola,-75.18333,3.33333
Phyllostomus hastatus,-75.45,3.65
Marmosa mexicana,-75.18333,3.33333
Phyllostomus hastatus,-75.18333,3.33333
Micronycteris megalotis,-75.18333,3.33333
Caluromys lanatus,-75.18333,3.33333
Glossophaga soricina,-75.18333,3.33333
Glossophaga longirostris,-75.18333,3.33333
Phyllostomus discolor,-75.45,3.65
Glossophaga soricina,-75.45,3.65
Artibeus jamaicensis,-75.45,3.65
Carollia perspicillata,-75.18333,3.33333
Desmodus rotundus,-75.18333,3.33333
Peropteryx kappleri,-75.45,3.65
Myotis nigricans,-75.18333,3.33333
Oligoryzomys fulvescens,-74.16667,4.33333
Cerdocyon thous,-75.18333,3.33333
Rhogeessa tumida,-75.18333,3.33333
Mus musculus,-75.18333,3.33333
Thomasomys niveipes,-74.16667,4.33333
Heteromys anomalus,-75.18333,3.33333
Sigmodon hispidus,-75.18333,3.33333
Mazama americana,-75.45,3.65
Saimiri sciureus,-73.25,4.13333
Cebus apella,-73.83333,3.5
